codes1,counts1
confusing or conflicting,7
bad timing or bad data,8
unnecessary or redundant,3
impossible or illegal,1
codes2,counts2
confusing or conflicting,7
bad timing or bad data,8
unnecessary or redundant,3
impossible or illegal,1
