Distraction,Lane position,Distraction,Distraction,Distraction
Response time,Distraction,Speed control,,
Distraction,Distraction,,,
Distance,Speed control,,,
Decision making,Distraction,,,
Decision making,,,,
Distraction,,,,
Response time,,,,
Distraction,,,,
