codes1,counts1
undesirable route suggestion,12
confusing or conflicting,6
bad timing or bad data,4
unnecessary or redundant,3
codes2,counts2
undesirable route suggestion,12
confusing or conflicting,6
bad timing or bad data,4
unnecessary or redundant,3
