52.30530206,4.75078985,30.391
52.30521795,4.75078139,27.664
52.30520510,4.75078103,28.041
52.30524273,4.75079131,30.787
52.30518962,4.75098414,33.758
52.30513331,4.75104070,28.352
52.30510931,4.75109819,24.821
52.30512606,4.75114372,24.234
52.30515197,4.75117893,22.306
52.30519673,4.75120053,22.342
52.30526034,4.75121982,25.505
52.30534513,4.75122747,31.281
52.30539516,4.75123168,35.712
52.30544261,4.75123038,39.733
52.30547201,4.75123252,44.778
52.30575238,4.75118580,49.323
52.30575238,4.75118580,47.537
52.30575238,4.75118580,47.701
52.30575464,4.75118113,47.620
52.30577394,4.75118454,48.066
52.30581031,4.75119604,49.307
52.30584147,4.75121878,49.474
52.30588232,4.75125236,49.894
52.30591261,4.75130245,50.082
52.30592258,4.75137923,49.211
52.30592243,4.75150289,48.895
52.30592375,4.75164202,48.471
52.30594203,4.75179102,48.948
52.30597304,4.75193749,48.707
52.30601144,4.75208367,48.538
52.30606335,4.75221815,48.842
52.30611450,4.75233744,48.510
52.30616891,4.75244520,48.531
52.30622007,4.75255035,48.502
52.30627107,4.75264876,48.482
52.30631721,4.75274863,48.459
52.30635117,4.75285437,48.737
52.30639175,4.75292572,48.991
52.30641236,4.75298899,49.133
52.30642326,4.75305290,48.841
52.30644478,4.75312702,48.620
52.30647791,4.75321589,48.581
52.30651702,4.75331660,48.461
52.30656072,4.75342528,48.457
52.30660536,4.75353571,48.486
52.30665338,4.75364940,48.522
52.30669868,4.75375305,48.539
52.30672878,4.75384621,48.531
52.30674840,4.75393136,48.533
52.30677162,4.75397971,48.544
52.30681016,4.75397374,48.646
52.30685513,4.75392078,48.655
52.30686729,4.75387775,48.668
52.30685310,4.75381994,48.991
52.30682273,4.75373408,49.295
52.30676992,4.75363093,49.545
52.30672706,4.75348829,49.710
52.30666908,4.75333365,49.899
52.30660082,4.75317755,50.167
52.30652716,4.75301749,50.500
52.30646510,4.75286503,50.955
52.30640776,4.75270264,51.393
52.30635255,4.75253921,51.694
52.30629076,4.75239161,51.710
52.30622591,4.75224636,51.726
52.30616198,4.75209329,51.828
52.30610228,4.75194154,51.953
52.30605206,4.75178448,51.997
52.30601442,4.75160462,51.959
52.30600119,4.75141258,51.886
52.30599304,4.75120268,51.723
52.30601131,4.75100325,51.478
52.30606403,4.75082503,51.140
52.30611691,4.75065403,50.742
